archaeological_layer.archstratigraphy_idarchstrat;assemblage.locality_idlocality;assemblage.name;assemblage.lithic_piece_count;locality.x;locality.y;query_age_min;query_age_max;age_comments
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXIII Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXIV Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXV Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXVI Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXVII Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA/LSA;Kisese II Rock Shelter;Kisese II Rock Shelter Spit XXVIII Archaeological Assemblage;-1;35.812031;-4.491797;40300;71000;;
MSA 2a;Klasies River Mouth Cave 1;KRM Cave 1 LBS Member AA43 SBS-Y44 SCB3S Collection;;24.391713;-34.108148;94200;119400;LBS Member correlates with Singer+Wymer's Layer 38, 39 and 40, LBS dates between 94.2-119.4ka (OSL/IRSL), AAR age of Layer 38 suggests an age of 110ka, arch_strat (MSA I) suggests an age between 105-130ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Cave 1;KRM Cave 1 Layer 13 Archaeological Assemblage;2101;24.391713;-34.108148;30000;78100;correlates with Deacons Layer WS which OSL/IRSL date lies between 63.3-78.1 ka,  AAR suggest an age of 65 ka,  arch_strat (MSA IV) suggests an age between 30-50 ka (see Singer and Wymer 1982, Deacon and Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 14 Archaeological Assemblage;19266;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS R, part of SAS Member lower including also SAS W (Layer 15), SAS U (Layer 16) and SAS B (Layer 17), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 15 Archaeological Assemblage;13415;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS W, part of SAS Member lower including also SAS R (Layer 14), SAS U (Layer 16) and SAS B (Layer 17), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 16 Archaeological Assemblage;13034;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS U, part of SAS Member lower including also SAS R (Layer 14), SAS W (Layer 15) and SAS B (Layer 17), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 17 Archaeological Assemblage;7581;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS B, part of SAS Member lower including also SAS R (Layer 14), SAS W (Layer 15) and SAS U (Layer 16), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 17a Archaeological Assemblage;3313;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS B, part of SAS Member lower including also SAS R (Layer 14), SAS W (Layer 15) and SAS U (Layer 16), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 Layer 17b Archaeological Assemblage;6214;24.391713;-34.108148;61900;105000;correlates to Deacons Layer SAS B, part of SAS Member lower including also SAS R (Layer 14), SAS W (Layer 15) and SAS U (Layer 16), dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2a;Klasies River Mouth Cave 1;KRM Cave 1 Layer 37 Archaeological Assemblage;18354;24.391713;-34.108148;61900;119400;correlates Deacon's SAS RBS Member, AAR suggests an age of 90ka, arch_strat (MSA I) suggests an age between 105-130ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2a;Klasies River Mouth Cave 1;KRM Cave 1 Layer 38 Archaeological Assemblage;9629;24.391713;-34.108148;94200;119400;Layer 38, 39 and 40 correspond to Deacons Layer LBS, LBS dates between 94.2-119.4 ka (OSL/IRSL), AAR age of Layer 38 suggests an age of 110 ka, arch_strat (MSA I) suggests an age between 105-130 ka (see Singer and Wymer 1982, Deacon and Geleijnse 1988, Feathers 2002, table 8);
MSA 2a;Klasies River Mouth Cave 1;KRM Cave 1 Layer 39 Archaeological Assemblage;26;24.391713;-34.108148;94200;119400;Layer 38, 39 and 40 correspond to Deacons Layer LBS, LBS dates between 94.2-119.4 ka (OSL/IRSL), AAR age of Layer 38 suggests an age of 110 ka, arch_strat (MSA I) suggests an age between 105-130 ka (see Singer and Wymer 1982, Deacon and Geleijnse 1988, Feathers 2002, table 8);
MSA 2a;Klasies River Mouth Cave 1;KRM Cave 1 Layer 40 Archaeological Assemblage;2;24.391713;-34.108148;94200;119400;Layer 38, 39 and 40 correspond to Deacons Layer LBS, LBS dates between 94.2-119.4 ka (OSL/IRSL), AAR age of Layer 38 suggests an age of 110 ka, arch_strat (MSA I) suggests an age between 105-130 ka (see Singer and Wymer 1982, Deacon and Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 SAS Member SAS U HHH-D1 Collection;;24.391713;-34.108148;61900;105000;correlates to Singer+Wymer Layers 14, 15, 16 and 17, dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Cave 1;KRM Cave 1 SAS Member SAS W H1-J4 Collection;;24.391713;-34.108148;61900;105000;correlates to Singer+Wymer Layers 14, 15, 16 and 17, dates for these sequence are between 61.9-103.9 ka (OSL/IRSL and ESR), AAR age for Layer 16 suggest an ago of 89ka, arch_strat (MSA II) suggest an age between 77-105ka (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Cave 2;KRM Cave 2 Layer 1 Archaeological Assemblage;1924;24.391796;-34.107973;60800;67800;;
Howiesonspoort;Klasies River Mouth Cave 2;KRM Cave 2 Layer 2 Archaeological Assemblage;3789;24.391796;-34.107973;60800;67800;;
Howiesonspoort;Klasies River Mouth Cave 2;KRM Cave 2 Layer 3 Archaeological Assemblage;2888;24.391796;-34.107973;60800;67800;;
Howiesonspoort;Klasies River Mouth Cave 2;KRM Cave 2 Layer 4 Archaeological Assemblage;2075;24.391796;-34.107973;60800;67800;;
Howiesonspoort;Klasies River Mouth Cave 2;KRM Cave 2 Layer 5 Archaeological Assemblage;836;24.391796;-34.107973;60800;67800;;
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 1-3 Archaeological Assemblage;244;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 10 Archaeological Assemblage;3778;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 11 Archaeological Assemblage;205;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 12 Archaeological Assemblage;170;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 13 Archaeological Assemblage;2526;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 14 Archaeological Assemblage;6291;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 15 Archaeological Assemblage;1477;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 16 Archaeological Assemblage;5830;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 17 Archaeological Assemblage;19767;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 18 Archaeological Assemblage;7656;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 19 Archaeological Assemblage;10227;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 20 Archaeological Assemblage;16597;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 21 Archaeological Assemblage;2083;24.392367;-34.108202;43400;66000;Layers 10-21 correlate with Deacon's Upper Member, absolute dates between 43.4-56.4ka (OSL/IRSL, ESR), arch_strat (HP) suggests an age between 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 22 Archaeological Assemblage;1073;24.392367;-34.108202;63000;105000;Layer 22 correlates with Deacon's RF Member, dating between 63.0-98.2ka (OSL/IRSL), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 23 Archaeological Assemblage;509;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 23-24 Archaeological Assemblage;3882;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 24 Archaeological Assemblage;1669;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 25 Archaeological Assemblage;1898;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 26 Archaeological Assemblage;567;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 27 Archaeological Assemblage;4321;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 28 Archaeological Assemblage;2699;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 28-29 Archaeological Assemblage;2618;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 30 Archaeological Assemblage;1142;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 31 Archaeological Assemblage;934;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 32 Archaeological Assemblage;1222;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 32-33 Archaeological Assemblage;1832;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 33 Archaeological Assemblage;570;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 34 Archaeological Assemblage;1949;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 35 Archaeological Assemblage;19;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 36 Archaeological Assemblage;3483;24.392367;-34.108202;61900;105000;Layers 23-36 correlate with Deacon's SAS Member, upper and lower part, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 4 Archaeological Assemblage;91;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 5 Archaeological Assemblage;218;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 6 Archaeological Assemblage;2927;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 7 Archaeological Assemblage;1995;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 7-9 Archaeological Assemblage;592;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 8 Archaeological Assemblage;137;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Layer 9 Archaeological Assemblage;333;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A SAS Member AA43 SCB2-T50 SM5T Collection;;24.392367;-34.108202;61900;105000;Deacon's SAS Member upper+lower, correlates with Singer+Wymer's Layers 23-37, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2b;Klasies River Mouth Shelter 1A;KRM Shelter 1A SAS Member T50 BS4L-L51 YS Collection;;24.392367;-34.108202;61900;105000;Deacon's SAS Member upper+lower, correlates with Singer+Wymer's Layers 23-37, absolute dates between 61.9-90.8ka (OSL/IRSL, ESR), arch_strat (MSA II/2b) suggests an age of 77-105ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Upper Member lower J51 Ysx5-E50 CP5 Collection;;24.392367;-34.108202;40400;66000;Deacon's Upper Member, correlates with Singer+Wymer's Layers 1-9 and 10-21, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP and HP) suggests an age between 30-50ka and 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Upper Member upper E50 YS3_E50 TSG Collection;;24.392367;-34.108202;40400;55900;Layers 1-9 correlate with Deacon's Upper Member, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP) suggests an age between 30-50ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
Post-Howiesonspoort;Klasies River Mouth Shelter 1A;KRM Shelter 1A Upper Member upper E50 YS3_E50 TSG Collection;;24.392367;-34.108202;40400;66000;Deacon's Upper Member, correlates with Singer+Wymer's Layers 1-9 and 10-21, absolute dates between 40.4-55.9ka (OSL/IRSL, ESR), arch_strat (post-HP and HP) suggests an age between 30-50ka and 58-66ka, C14 dates are somewhat younger and excluded here (see Singer+Wymer 1982, Deacon+Geleijnse 1988, Grün et al. 1990, Feathers 2002, table 8);
MSA 2a;Klasies River Mouth Shelter 1B;KRM Shelter 1B LBS Member PP38 RSBCH-YS 1 Collection;;24.391329;-34.108167;105000;130000;;
MSA 2b;Klasies River Mouth Shelter 1B;KRM Shelter 1B SAS Member PP38 DCCP12-DCCP7 Collection;;24.391329;-34.108167;77000;105000;;
MSA 2b;Klasies River Mouth Shelter 1B;KRM Shelter 1B SAS Member PP38 DCCP6-DC surf Collection;;24.391329;-34.108167;77000;105000;;
Post-Howiesonspoort;Klein Kliphuis;Klein Kliphuis Unit D1 Archaeological Assemblage;-1;18.9262833;-32.120167;35000;57000;;
Howiesonspoort;Klein Kliphuis;Klein Kliphuis Unit D2 Archaeological Assemblage;-1;18.9262833;-32.120167;59000;69000;;
Post-Howiesonspoort;Klein Kliphuis;Klein Kliphuis Unit D2 Archaeological Assemblage;-1;18.9262833;-32.120167;59000;69000;;
Howiesonspoort;Klein Kliphuis;Klein Kliphuis Unit D3 Archaeological Assemblage;-1;18.9262833;-32.120167;63000;69000;;
